종목코드,종목명,현재가,대비,등락률,거래량,가격(원),일자,종료일 종가
348150,고바이오랩,"48,500","-2,100","-4.15","1,331,398","26,750","2020/11/20","50,600"
114920,대주이엔티,"1,200","0","0","0","666","2020/11/20","1,200"
330860,네패스아크,"54,800","500","0.92","161,101","34,250","2020/11/19","54,300"
096300,베트남개발1,"237","0","0","131,848","231","2020/11/17","237"
322780,DB금융스팩7호,"2,200","-15","-0.68","777,959","1,810","2020/11/17","2,215"
242350,피엔아이컴퍼니,"587","70","13.54","8,881","331","2020/11/16","517"
236030,씨알푸드,"8,000","-430","-5.1","308","6,910","2020/11/12","8,430"
236340,메디젠휴먼케어,"10,050","-100","-0.99","5,730","6,770","2020/11/10","10,150"
149010,아이케이세미콘,"5,480","0","0","111","2,065","2020/11/09","5,480"
301300,바이브컴퍼니,"33,300","-550","-1.62","62,105","28,150","2020/11/03","33,850"
339950,아이비김영,"1,570","-5","-0.32","10,618","1,435","2020/11/03","1,575"
352820,빅히트,"207,500","-3,000","-1.43","1,003,201","141,000","2020/11/02","210,500"
363280,티와이홀딩스,"25,700","-550","-2.1","217,156","19,450","2020/11/02","26,250"
070590,한솔인티큐브,"3,095","-55","-1.75","162,489","2,300","2020/11/02","3,150"
348350,위드텍,"52,000","-3,300","-5.97","66,218","36,250","2020/10/30","55,300"
347000,센코,"25,350","-850","-3.24","456,466","13,000","2020/10/29","26,200"
115570,스타플렉스,"4,500","40","0.9","160,224","3,925","2020/10/28","4,460"
041960,코미팜,"12,050","-50","-0.41","286,965","11,650","2020/10/27","12,100"
044180,KD,"1,200","-15","-1.23","205,242","1,150","2020/10/27","1,215"
164060,이루다,"14,200","550","4.03","412,189","11,800","2020/10/27","13,650"
223250,드림씨아이에스,"18,900","-350","-1.82","14,736","16,100","2020/10/27","19,250"
262260,에이프로,"48,800","-3,200","-6.15","362,300","31,600","2020/10/27","52,000"
290520,신도기연,"22,000","-800","-3.51","109,343","18,450","2020/10/27","22,800"
293490,카카오게임즈,"48,750","-50","-0.1","696,460","42,950","2020/10/27","48,800"
318410,비비씨,"20,950","450","2.2","162,479","17,950","2020/10/27","20,500"
330350,위더스제약,"21,200","-300","-1.4","74,653","18,600","2020/10/27","21,500"
331920,셀레믹스,"24,450","-450","-1.81","110,063","19,050","2020/10/27","24,900"
332370,아이디피,"8,380","80","0.96","32,655","7,630","2020/10/27","8,300"
332570,와이팜,"13,700","-150","-1.08","218,715","11,600","2020/10/27","13,850"
015260,에이엔피,"1,575","-15","-0.94","195,259","1,087","2020/10/23","1,590"
112190,KC산업,"2,485","20","0.81","241","1,800","2020/10/23","2,465"
244880,나눔테크,"2,775","-100","-3.48","464","1,825","2020/10/22","2,875"
311060,엘에이티,"2,350","0","0","443","2,250","2020/10/22","2,350"
111110,호전실업,"10,050","-350","-3.37","83,432","7,560","2020/10/20","10,400"
052400,코나아이,"26,000","-250","-0.95","85,456","20,800","2020/10/20","26,250"
084990,헬릭스미스,"27,050","-1,350","-4.75","558,170","17,091","2020/10/20","28,400"
291650,압타머사이언스,"27,550","-1,400","-4.84","1,130,541","19,550","2020/10/20","28,950"
307280,교보8호스팩,"3,925","-55","-1.38","126,429","2,040","2020/10/20","3,980"
323990,박셀바이오,"135,600","-14,600","-9.72","1,275,334","10,225","2020/10/20","150,200"
347770,핌스,"17,350","450","2.66","232,449","14,150","2020/10/20","16,900"
116100,태양기계,"730","2","0.27","64","630","2020/10/20","728"
223220,아이피몬스터,"320","-29","-8.31","6,181","130","2020/10/20","349"
304840,피플바이오,"54,400","-3,400","-5.88","268,235","17,150","2020/10/19","57,800"
347740,피엔케이피부임상연구센타,"22,200","-250","-1.11","72,061","20,650","2020/10/19","22,450"
348840,데이드림엔터,"20,950","1,800","9.4","223","8,500","2020/10/19","19,150"
121060,유니포인트,"1,140","-25","-2.15","3,631","927","2020/10/16","1,165"
282690,동아타이어,"9,930","-20","-0.2","33,296","8,990","2020/10/14","9,950"
359090,엔에이치스팩17호,"2,065","5","0.24","48,686","1,980","2020/10/12","2,060"
348210,넥스틴,"55,000","-2,300","-4.01","267,761","23,047","2020/10/08","57,300"
